,Unnamed: 0,Title,Artist(s),Track_ID,Genre
146,47,That's the Way I've Always Heard It Should Be,Carly Simon,180850451,Pop
147,48,If You Really Love Me,Stevie Wonder,32940320,R&B/Soul
148,49,Spanish Harlem,Aretha Franklin,89206493,R&B/Soul
149,50,I Don't Know How to Love Him,Helen Reddy,983877,Pop
150,51,Yo-Yo,The Osmonds,146766757,Pop
151,52,Bridge over Troubled Water,Aretha Franklin,85576595,R&B/Soul
152,53,Doesn't Somebody Want to Be Wanted,The Partridge Family,100535632,Pop
153,54,Draggin' the Line,Tommy James,92151059,Pop
154,55,Proud Mary,Ike & Tina Turner,34981338,Pop
155,56,Beginnings/Colour My World,Chicago,34198981,Rock
156,57,Stay Awhile,The Bells,8651058,Rock
157,58,Sweet City Woman,The Stampeders,100671720,Rock
158,59,Me and You and a Dog Named Boo,Lobo,93603909,Rock
159,60,"Another Day/Oh Woman, Oh Why",Paul McCartney,170593225,Pop
160,61,If,Bread,91314206,Pop
161,62,Mercy Mercy Me (The Ecology),Marvin Gaye,16755015,Contemporary R&B
162,63,One Toke Over the Line,Brewer & Shipley,35054859,Pop
163,64,She's Not Just Another Woman,8th Day,34355744,R&B/Soul
164,65,Bring the Boys Home,Freda Payne,100879483,R&B/Soul
165,66,I Just Want to Celebrate,Rare Earth,91525816,R&B/Soul
166,67,Never Ending Song of Love,Delaney & Bonnie & Friends,31396189,Rock
167,68,Easy Loving,Freddie Hart,166922041,Country
168,69,Liar,Three Dog Night,96440008,Rock
169,70,Stick-Up,Honey Cone,89268251,R&B/Soul
170,71,Chirpy Chirpy Cheep Cheep,Mac and Katie Kissoon,151353392,Vocal
171,72,(Where Do I Begin?) Love Story,Andy Williams,33665067,Pop
172,73,Wild World,Cat Stevens,missing,missing
173,74,"When You're Hot, You're Hot",Jerry Reed,97608643,Country
174,75,Funky Nassau,The Beginning of the End,missing,missing
175,76,If Not for You,Olivia Newton-John,92123343,Pop
176,77,Groove Me,King Floyd,9652452,Blues
177,78,Watching Scotty Grow,Bobby Goldsboro,159113827,Country
178,79,Woodstock,Matthews Southern Comfort,5184147,Singer/Songwriter
179,80,Amazing Grace,Judy Collins,missing,missing
180,81,I Hear You Knocking,Dave Edmunds,216339282,Rock
181,82,Lonely Days,Bee Gees,85873931,Pop
182,83,Here Comes That Rainy Day Feeling Again,The Fortunes,181838029,Rock
183,84,Won't Get Fooled Again,The Who,139167999,Rock
184,85,Trapped By a Thing Called Love,Denise LaSalle,100907897,Blues
185,86,Mama's Pearl,The Jackson 5,missing,missing
186,87,Timothy,The Buoys,8652606,Pop
187,88,I Woke Up In Love This Morning,The Partridge Family,100535562,Pop
188,89,Theme from Shaft,Isaac Hayes,47761585,R&B/Soul
189,90,If I Were Your Woman,Gladys Knight & the Pips,36174517,R&B/Soul
190,91,I Am...I Said,Neil Diamond,37925534,Pop
191,92,The Wedding Song (There Is Love),Paul Stookey,48449047,Singer/Songwriter
192,93,Don't Knock My Love,Wilson Pickett,58425216,R&B/Soul
193,94,Love Her Madly,The Doors,18850768,Blues-Rock
194,95,Here Comes the Sun,Richie Havens,98823039,Singer/Songwriter
195,96,Sweet Mary,Wadsworth Mansion,missing,missing
196,97,Right on the Tip of My Tongue,Brenda & the Tabulations,103815474,R&B/Soul
197,98,One Less Bell to Answer,The 5th Dimension,missing,missing
198,99,Riders on the Storm,The Doors,missing,missing
199,100,It's Impossible,Perry Como,213669578,Pop
200,1,The First Time Ever I Saw Your Face,Roberta Flack,35518152,R&B/Soul
201,2,Alone Again (Naturally),Gilbert O'Sullivan,37912360,Pop
202,3,American Pie,Don McLean,196439095,Folk-Rock
203,4,Without You,Harry Nilsson,867671,Rock
204,5,The Candy Man,Sammy Davis Jr.,missing,missing
205,6,I Gotcha,Joe Tex,90172645,R&B/Soul
206,7,Lean on Me,Bill Withers,90292546,Soul
207,8,"Baby, Don't Get Hooked on Me",Mac Davis,101583316,Country
208,9,Brand New Key,Melanie,150033154,Pop
